,sim,n_samples,n_dim,split,mse
403,cub_sim,30,3,axis,491.89465299319346
404,cub_sim,30,3,axis,572.3350109090517
405,cub_sim,30,3,axis,1024.831685665185
406,cub_sim,30,3,axis,370.40196155660664
407,cub_sim,30,3,axis,255.25304105595373
408,cub_sim,30,3,axis,866.9317708796851
409,cub_sim,30,3,axis,35.14506014867209
410,spiral_sim,30,3,axis,2.157719125389052
411,spiral_sim,30,3,axis,1.240648031865233
412,spiral_sim,30,3,axis,1.0372603958604472
413,spiral_sim,30,3,axis,2.1954165097560936
414,spiral_sim,30,3,axis,0.8913557926738925
415,spiral_sim,30,3,axis,0.8719132182621472
416,spiral_sim,30,3,axis,1.4491206607131015
417,spiral_sim,30,3,axis,1.539840437249948
418,spiral_sim,30,3,axis,1.7217258468094327
419,spiral_sim,30,3,axis,1.0451166223636075
420,cub_sim,30,4,axis,7521.852565240708
421,cub_sim,30,4,axis,5388.445939923623
422,cub_sim,30,4,axis,4563.186641868486
423,cub_sim,30,4,axis,418.73952820804146
424,cub_sim,30,4,axis,1629.266740643979
425,cub_sim,30,4,axis,1987.761981205758
426,cub_sim,30,4,axis,857.3088980044623
427,cub_sim,30,4,axis,932.364018695577
428,cub_sim,30,4,axis,1425.0024284873193
429,cub_sim,30,4,axis,1813.5388191276922
430,spiral_sim,30,4,axis,0.2450036419224574
431,spiral_sim,30,4,axis,0.37423427782282076
432,spiral_sim,30,4,axis,2.5561124975973613
433,spiral_sim,30,4,axis,2.023344245419964
434,spiral_sim,30,4,axis,1.3083198998990684
435,spiral_sim,30,4,axis,1.1342053394968363
436,spiral_sim,30,4,axis,1.1942204196164334
437,spiral_sim,30,4,axis,2.5489097759963766
438,spiral_sim,30,4,axis,3.649848500304997
439,spiral_sim,30,4,axis,2.541957768602906
440,cub_sim,30,5,axis,1381.0896844788028
441,cub_sim,30,5,axis,13052.046250384166
442,cub_sim,30,5,axis,3499.2124474684356
443,cub_sim,30,5,axis,963.611325450436
444,cub_sim,30,5,axis,11547.160395107823
445,cub_sim,30,5,axis,388.5778740723007
446,cub_sim,30,5,axis,7643.972832453337
447,cub_sim,30,5,axis,4186.866221763001
448,cub_sim,30,5,axis,5115.0042231450325
449,cub_sim,30,5,axis,377.3635244096504
450,spiral_sim,30,5,axis,1.2097770204367373
451,spiral_sim,30,5,axis,1.3415643695907866
452,spiral_sim,30,5,axis,0.9729126076564736
453,spiral_sim,30,5,axis,3.621100467895722
454,spiral_sim,30,5,axis,2.5385839131558696
455,spiral_sim,30,5,axis,1.807507933022192
456,spiral_sim,30,5,axis,2.6343527280694348
457,spiral_sim,30,5,axis,1.5574973232790008
458,spiral_sim,30,5,axis,1.1390669364448414
459,spiral_sim,30,5,axis,3.5610208580744764
460,cub_sim,30,6,axis,7855.929542736401
461,cub_sim,30,6,axis,246.35700831344894
462,cub_sim,30,6,axis,1976.8689032162215
463,cub_sim,30,6,axis,2676.872234859534
464,cub_sim,30,6,axis,11107.627330362016
465,cub_sim,30,6,axis,5469.413543885512
466,cub_sim,30,6,axis,3997.7435308566005
467,cub_sim,30,6,axis,2399.0957127705133
468,cub_sim,30,6,axis,2455.70709505996
469,cub_sim,30,6,axis,1402.9836317851616
470,spiral_sim,30,6,axis,1.8737805630959545
471,spiral_sim,30,6,axis,2.4011445266424833
472,spiral_sim,30,6,axis,5.073688763159766
473,spiral_sim,30,6,axis,2.5936439307811585
474,spiral_sim,30,6,axis,3.188013960917791
475,spiral_sim,30,6,axis,2.67856328706856
476,spiral_sim,30,6,axis,1.9379699699977053
477,spiral_sim,30,6,axis,4.81264735509757
478,spiral_sim,30,6,axis,1.3152519893693593
479,spiral_sim,30,6,axis,0.9526434727220262
480,cub_sim,30,7,axis,10768.968303687992
481,cub_sim,30,7,axis,792.3768854943645
482,cub_sim,30,7,axis,911.4600326281488
483,cub_sim,30,7,axis,438.9383370028475
484,cub_sim,30,7,axis,4325.68028412712
485,cub_sim,30,7,axis,24325.154394352336
486,cub_sim,30,7,axis,5247.021101679389
487,cub_sim,30,7,axis,3402.436683485493
488,cub_sim,30,7,axis,4771.232649893195
489,cub_sim,30,7,axis,1595.022967299678
490,spiral_sim,30,7,axis,3.479635327206665
491,spiral_sim,30,7,axis,2.1139355037125007
492,spiral_sim,30,7,axis,1.4311230562152946
493,spiral_sim,30,7,axis,6.9840883753736165
494,spiral_sim,30,7,axis,2.0539057191673735
495,spiral_sim,30,7,axis,3.670797966581708
496,spiral_sim,30,7,axis,2.293569819294743
497,spiral_sim,30,7,axis,3.167219450666969
498,spiral_sim,30,7,axis,3.6002066454793527
499,spiral_sim,30,7,axis,3.849114689203808
500,cub_sim,30,8,axis,352.6700246497712
501,cub_sim,30,8,axis,6010.081023986055
502,cub_sim,30,8,axis,960.0781047246978
503,cub_sim,30,8,axis,28230.082054474107
504,cub_sim,30,8,axis,2078.416224186728
505,cub_sim,30,8,axis,1029.8143156851927
506,cub_sim,30,8,axis,177.62138139400912
507,cub_sim,30,8,axis,11800.094406361797
508,cub_sim,30,8,axis,780.2153529203271
509,cub_sim,30,8,axis,96.1694609936432
510,spiral_sim,30,8,axis,3.750618118876745
511,spiral_sim,30,8,axis,3.2862003028154003
512,spiral_sim,30,8,axis,3.694176329196518
513,spiral_sim,30,8,axis,3.1108006306191927
514,spiral_sim,30,8,axis,2.5504767866754467
515,spiral_sim,30,8,axis,2.8882337809425933
516,spiral_sim,30,8,axis,3.881394820807992
517,spiral_sim,30,8,axis,7.227315026629816
518,spiral_sim,30,8,axis,3.3695415648761076
519,spiral_sim,30,8,axis,0.7608006733120013
520,cub_sim,30,9,axis,662.2906265773229
521,cub_sim,30,9,axis,1247.00063997258
522,cub_sim,30,9,axis,2187.891834017014
523,cub_sim,30,9,axis,633.019461824429
524,cub_sim,30,9,axis,1070.2599287937253
525,cub_sim,30,9,axis,24428.412823305356
526,cub_sim,30,9,axis,6974.786616813495
527,cub_sim,30,9,axis,12480.86525327185
528,cub_sim,30,9,axis,11964.244004260772
529,cub_sim,30,9,axis,7445.078542752682
530,spiral_sim,30,9,axis,3.6151479451952064
531,spiral_sim,30,9,axis,4.100718851362287
532,spiral_sim,30,9,axis,4.483032190128733
533,spiral_sim,30,9,axis,3.7250269001986127
534,spiral_sim,30,9,axis,5.650992930235107
535,spiral_sim,30,9,axis,3.7833178892925923
536,spiral_sim,30,9,axis,8.899838096173402
537,spiral_sim,30,9,axis,5.04890266274214
538,spiral_sim,30,9,axis,2.7682885246632325
539,spiral_sim,30,9,axis,5.407461818346727
540,cub_sim,30,1,oblique,673.1310523758667
541,cub_sim,30,1,oblique,176.8544871076298
542,cub_sim,30,1,oblique,391.70095389803816
543,cub_sim,30,1,oblique,756.5385578294523
544,cub_sim,30,1,oblique,386.78932689647485
545,cub_sim,30,1,oblique,436.30226759853485
546,cub_sim,30,1,oblique,415.0891901654973
547,cub_sim,30,1,oblique,137.4505510968833
548,cub_sim,30,1,oblique,1132.2790283029074
549,cub_sim,30,1,oblique,280.219618953512
550,spiral_sim,30,1,oblique,0.9639989142091565
